tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,match_title,join_key,averageRating,numVotes
tt0096707,tvSeries,The Super Mario Bros. Super Show!,The Super Mario Bros. Super Show!,0,1989,30,"Action,Adventure,Animation",The Super Mario Bros. Super Show!,thesupermariobrossupershow|1989,6.3,5424.0
tt0096740,movie,300 Miles to Heaven,300 mil do nieba,0,1989,105,"Biography,Drama",300 Miles to Heaven,300milestoheaven|1989,7.1,1155.0
tt0096787,movie,All Dogs Go to Heaven,All Dogs Go to Heaven,0,1989,84,"Adventure,Animation,Comedy",All Dogs Go to Heaven,alldogsgotoheaven|1989,6.8,49666.0
tt0096913,movie,Best of the Best,Best of the Best,0,1989,97,"Action,Drama,Sport",Best of the Best,bestofthebest|1989,6.4,16722.0
tt0097142,movie,Dad,Dad,0,1989,117,"Comedy,Drama",Dad,dad|1989,6.3,5572.0
tt0097216,movie,Do the Right Thing,Do the Right Thing,0,1989,120,"Comedy,Drama",Do the Right Thing,dotherightthing|1989,7.9,124723.0
tt0097576,movie,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,0,1989,127,Adventure,Indiana Jones and the Last Crusade,indianajonesandthelastcrusade|1989,8.2,864452.0
tt0097647,movie,The Karate Kid Part III,The Karate Kid Part III,0,1989,112,"Action,Drama,Family",The Karate Kid Part III,thekaratekidpartiii|1989,5.4,77804.0
tt0097758,movie,Little Monsters,Little Monsters,0,1989,100,"Adventure,Comedy,Family",Little Monsters,littlemonsters|1989,6.1,15410.0
tt0097926,movie,Mujrim,Mujrim,0,1989,163,"Action,Crime",Mujrim,mujrim|1989,5.4,302.0
tt0098237,tvMovie,The Ryan White Story,The Ryan White Story,0,1989,105,"Biography,Drama",The Ryan White Story,theryanwhitestory|1989,7.2,1110.0
tt0098313,movie,Doubles Cause Troubles,Shen yong shuang mei mai,0,1989,93,"Comedy,Crime",Doubles Cause Troubles,doublescausetroubles|1989,5.4,218.0
tt0098465,movie,"Thelonious Monk: Straight, No Chaser","Thelonious Monk: Straight, No Chaser",0,1988,90,"Biography,Documentary,Music","Thelonious Monk: Straight, No Chaser",theloniousmonkstraightnochaser|1988,7.5,1477.0
tt0098936,tvSeries,Twin Peaks,Twin Peaks,0,1990,50,"Crime,Drama,Mystery",Twin Peaks,twinpeaks|1990,8.7,247463.0
tt0098999,movie,Agneepath,Agneepath,0,1990,174,"Action,Crime,Drama",Agneepath,agneepath|1990,7.6,9994.0
tt0099348,movie,Dances with Wolves,Dances with Wolves,0,1990,181,"Adventure,Drama,Western",Dances with Wolves,danceswithwolves|1990,8.0,310956.0
tt0099396,tvMovie,In Defense of a Married Man,In Defense of a Married Man,0,1990,95,"Crime,Drama",In Defense of a Married Man,indefenseofamarriedman|1990,5.6,319.0
tt0099429,movie,Dil,Dil,0,1990,172,"Comedy,Drama,Romance",Dil,dil|1990,6.6,6167.0
tt0099652,movie,Ghayal,Ghayal,0,1990,163,"Action,Crime,Drama",Ghayal,ghayal|1990,7.7,5585.0
tt0099685,movie,GoodFellas,GoodFellas,0,1990,145,"Biography,Crime,Drama",GoodFellas,goodfellas|1990,8.7,1395803.0
tt0099800,movie,House Party,House Party,0,1990,100,"Comedy,Music",House Party,houseparty|1990,6.5,18157.0
tt0099858,movie,Alexandria: Again and Forever,"Iskanderija, kaman oue kaman",0,1989,100,Drama,Alexandria: Again and Forever,alexandriaagainandforever|1989,6.6,893.0
tt0100095,movie,Maine Pyar Kiya,Maine Pyar Kiya,0,1989,192,"Drama,Musical,Romance",Maine Pyar Kiya,mainepyarkiya|1989,7.3,14021.0
tt0100332,movie,Paris Is Burning,Paris Is Burning,0,1990,78,Documentary,Paris Is Burning,parisisburning|1990,8.2,21344.0
tt0100507,movie,Rocky V,Rocky V,0,1990,104,"Drama,Sport",Rocky V,rockyv|1990,5.4,161918.0
tt0100600,movie,"Look Out, Officer!",Si hing jong gwai,0,1990,92,"Action,Comedy,Crime","Look Out, Officer!",lookoutofficer|1990,5.8,1161.0
tt0100802,movie,Total Recall,Total Recall,0,1990,113,"Action,Adventure,Sci-Fi",Total Recall,totalrecall|1990,7.5,382220.0
tt0100814,movie,Tremors,Tremors,0,1990,96,"Comedy,Horror",Tremors,tremors|1990,7.2,166242.0
tt0100848,tvMovie,Unspeakable Acts,Unspeakable Acts,0,1990,100,"Biography,Drama",Unspeakable Acts,unspeakableacts|1990,6.2,622.0
